Solution,2023,2024,2025
NLP/LLM,0.0500566465780139,0.044248735842605434,0.04961544399460157
Bayesian Network,0.06869919264378646,0.06551467999815941,0.07316067597518365
Adversarial Training,0.0682310164750864,0.0671705820132047,0.07480914060336849
Data Augmentation,0.07270580037341763,0.07050770622057219,0.07885667472146451
RRAM,0.07694022788200527,0.07583207433344796,0.08497468810916568
Outlier Detection,0.07687226362759247,0.07607417999921988,0.08534960287700719
Dimensionality Reduction,0.07644562690984458,0.0764181317257074,0.0859639328555204
Data Provenance,0.07745160406921059,0.07654776270889367,0.08580269779001053
Data Sanitization,0.07834542489338976,0.07709169425652362,0.08625836602489775
Trustworthy AI,0.07906346174907715,0.078169676969992,0.0872730691820228
Noise Injection,0.07934810349252075,0.07827220598119311,0.08745741515303962
Defensive Distillation,0.07993247647664248,0.07900568733627249,0.08819524856759624
Spatial Smoothing,0.08002024082240192,0.07916066942258719,0.08840164174034726
