Solution,2023,2024,2025
NLP/LLM,0.03681424663712582,0.046957778744399555,0.05279182456433772
Game Theory,0.03941928471128146,0.052782321348786354,0.057538337074220174
Software Defined Network,0.042367132225384324,0.053014305730660766,0.05903032391021649
Honeypot,0.053570712761332594,0.06498624330076079,0.0734070809558034
Blackholing,0.058801775060904525,0.07062639218444626,0.07945748379764457
CAPTCHA,0.060293913042793676,0.07714431368124983,0.087061582521225
Penetration Testing,0.06262002186849713,0.07763455400709063,0.08733013365417719
Packet Filtering,0.06558721307859136,0.08027098034896578,0.08981817907382113
Rank Correlation,0.06565133597662984,0.08043944659099604,0.09009275501011871
Blacklisting,0.0660286459121077,0.08111764114194861,0.0907239567313809
Rate Limiting,0.06613022267993074,0.08107024802302476,0.09077482951397542
Graphical Model,0.06656614297874816,0.08142242467147298,0.09071744416238894
Traffic Shaping,0.06643745045827625,0.08154916164979417,0.09125144684609646
