Solution,2023,2024,2025
NLP/LLM,0.006788172448674839,0.009323019223908588,0.011281200374166168
Mutual Authentication,0.015816956292837858,0.020067874342203144,0.023029370078196127
CAPTCHA,0.0302678388543427,0.03950955416075885,0.04555095833105346
Penetration Testing,0.03259394768004616,0.03999979448659967,0.04581950946400563
Multi Factor Authentication,0.03184892008236299,0.040366126845280334,0.046425100842801235
ONE Time Password,0.03551611769459365,0.04338605795055628,0.048430560321624704
Password Policy,0.03594401637383271,0.04333641445070195,0.04905466404549467
Password Management,0.03637092864179673,0.04384227885505728,0.04917464165676696
Password Hashing,0.03637294026945407,0.0439618127469051,0.04983298780522697
Graphical Authentication,0.036515779456143115,0.04414792899842723,0.04985873790428741
Password Strength Meters,0.03676330505739619,0.04421781907937354,0.05000226455983162
