Solution,2023,2024,2025
Access Control,0.03346686189373335,0.018230990196267755,0.026693246016899735
Anomaly Detection,0.049011704201499626,0.04625848742822805,0.051442623138427734
NLP/LLM,0.11634914111346008,0.11425366718322039,0.13076174880067507
Static Analysis,0.12984196717540425,0.1308265347033739,0.14887190253163377
Statistical HMM,0.13777476269751787,0.139137596435224,0.15793076111003757
Dynamic Analysis,0.13856899497720104,0.13996217143721879,0.1599746694943557
Penetration Testing,0.1421549163448314,0.14493044244591147,0.16530005789051452
Patch Management,0.14446320977488844,0.1465176574808235,0.16672059808236858
Data Backups,0.14550770465090562,0.14824559557503864,0.16861020054784603
Deception Technology,0.14570994527214984,0.1486097677940658,0.16894209376672129
Application Whitelisting,0.14631876088697027,0.14923600880774757,0.1696192542931385
