Date,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,Account Hijacking-ALL,Trojan-ALL,Vulnerability-ALL
Jul-11,2,1,0,8,0,0,0
Aug-11,2,0,0,7,0,0,3
Sep-11,2,0,0,42,0,3,40
Oct-11,38,38,0,38,1,2,38
Nov-11,7,38,0,32,0,0,40
Dec-11,4,2,0,27,0,1,5
Jan-12,36,7,0,46,2,3,2
Feb-12,8,1,0,30,1,0,4
Mar-12,6,2,0,26,15,3,2
Apr-12,58,0,0,16,1,0,3
May-12,35,1,0,29,3,0,1
Jun-12,12,1,0,29,4,0,53
Jul-12,2,0,0,61,0,1,1
Aug-12,15,0,0,26,2,1,1
Sep-12,15,1,0,33,3,37,1
Oct-12,15,0,0,51,3,1,2
Nov-12,7,1,0,59,1,0,4
Dec-12,9,0,1,12,3,0,8
Jan-13,34,0,0,10,0,0,19
Feb-13,5,0,0,9,43,0,2
Mar-13,23,0,0,6,9,1,5
Apr-13,19,1,0,12,6,0,1
May-13,8,0,0,45,10,0,41
Jun-13,10,1,0,14,7,0,1
Jul-13,3,1,0,14,19,1,1
Aug-13,13,0,0,6,18,0,2
Sep-13,8,0,0,0,8,1,0
Oct-13,6,2,0,7,5,38,1
Nov-13,21,0,0,22,23,1,1
Dec-13,22,0,0,60,6,0,0
Jan-14,7,2,0,7,7,1,2
Feb-14,9,0,0,6,7,0,2
Mar-14,20,2,0,44,10,0,78
Apr-14,5,1,0,11,8,1,6
May-14,4,1,0,4,9,0,1
Jun-14,10,37,0,3,4,0,2
Jul-14,3,1,0,4,6,1,41
Aug-14,5,1,0,44,5,0,1
Sep-14,4,0,0,10,10,5,37
Oct-14,3,3,1,6,10,0,79
Nov-14,10,0,0,5,6,0,2
Dec-14,45,2,0,48,4,0,0
Jan-15,8,0,0,17,10,0,1
Feb-15,8,0,0,15,9,0,0
Mar-15,10,0,0,13,11,37,1
Apr-15,10,40,0,14,11,0,0
May-15,3,0,0,0,8,0,0
Jun-15,3,0,0,0,3,0,0
Jul-15,9,37,0,47,2,1,1
Aug-15,8,1,0,9,6,0,0
Sep-15,9,1,0,44,7,37,2
Oct-15,38,0,1,7,3,0,38
Nov-15,14,74,0,17,4,0,77
Dec-15,50,4,1,14,46,2,38
Jan-16,17,2,0,14,11,1,0
Feb-16,3,8,38,52,8,38,38
Mar-16,7,12,1,11,17,0,3
Apr-16,43,6,2,10,11,1,2
May-16,268,1,0,10,43,0,3
Jun-16,10,37,0,8,54,0,79
Jul-16,11,38,37,9,13,0,5
Aug-16,12,0,38,45,92,75,5
Sep-16,9,0,0,11,83,1,5
Oct-16,2,3,0,39,10,37,1
Nov-16,20,40,1,6,12,74,113
Dec-16,9,0,0,4,16,0,3
Jan-17,5,17,11,1,16,0,3
Feb-17,2,2,5,41,7,0,75
Mar-17,4,41,46,2,79,1,3
Apr-17,1,77,5,3,87,38,75
May-17,2,42,74,3,84,37,38
Jun-17,3,1,83,3,41,37,37
Jul-17,1,39,43,1,88,37,38
Aug-17,5,81,84,39,126,150,76
Sep-17,4,40,75,1,43,1,150
Oct-17,4,151,41,3,160,0,75
Nov-17,1,75,116,3,82,191,75
Dec-17,77,42,83,2,16,37,74
Jan-18,44,84,119,111,125,39,3
Feb-18,41,197,119,40,211,76,296
Mar-18,4,47,7,1,18,187,112
Apr-18,48,76,118,75,89,75,335
