Phishing-ALL,Solution_CRYPTOGRAPHY_Mentions,Solution_PUBLIC KEY INFRASTRUCTURE_Mentions,Solution_BLACKLISTING_Mentions,Solution_ENCRYPTION_Mentions,Solution_DECEPTION TECHNOLOGY_Mentions,Solution_ACCESS CONTROL_Mentions,Solution_ML/DL_Mentions,Solution_MULTI FACTOR AUTHENTICATION_Mentions,Solution_MUTUAL AUTHENTICATION_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,,,,,,
Password Attack-ALL,Solution_PASSWORD STRENGTH METERS_Mentions,Solution_PASSWORD HASHING_Mentions,Solution_PASSWORD MANAGEMENT_Mentions,Solution_MULTI FACTOR AUTHENTICATION_Mentions,Solution_PASSWORD POLICY_Mentions,Solution_GRAPHICAL AUTHENTICATION_Mentions,Solution_IDS/IPS_Mentions,Solution_MUTUAL AUTHENTICATION_Mentions,Solution_ML/DL_Mentions,Solution_ONE TIME PASSWORD_Mentions,Solution_PENETRATION TESTING_Mentions,Solution_CAPTCHA_Mentions,Solution_CRYPTOGRAPHY_Mentions,Solution_ENCRYPTION_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,
Trojan-ALL,Solution_BEHAVIOR BASED DETECTION_Mentions,Solution_IDS/IPS_Mentions,Solution_ENCRYPTION_Mentions,Solution_FORMAL VERIFICATION_Mentions,Solution_SPLIT MANUFACTURING_Mentions,Solution_GAME THEORY_Mentions,Solution_ML/DL_Mentions,Solution_ANOMALY DETECTION_Mentions,Solution_CRYPTOGRAPHY_Mentions,Solution_PENETRATION TESTING_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,,,,,
Vulnerability-ALL,Solution_VULNERABILITY ASSESSMENT_Mentions,Solution_PATCH MANAGEMENT_Mentions,Solution_PENETRATION TESTING_Mentions,Solution_IDS/IPS_Mentions,Solution_VULNERABILITY MANAGEMENT_Mentions,Solution_SIEM_Mentions,Solution_STANDARDIZED COMMUNICATION_Mentions,Solution_Control Flow Integrity_Mentions,Solution_ML/DL_Mentions,Solution_VULNERABILITY SCANNER_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,,,,,
Advanced persistent threat-ALL,Solution_MULTI FACTOR AUTHENTICATION_Mentions,Solution_USER BEHAVIOR ANALYTICS_Mentions,Solution_DATA LOSS PREVENTION_Mentions,Solution_DECEPTION TECHNOLOGY_Mentions,Solution_IDS/IPS_Mentions,Solution_NETWORK SEGMENTATION_Mentions,Solution_RISK ASSESSMENT_Mentions,Solution_GAME THEORY_Mentions,Solution_DYNAMIC RESOURCE MANAGEMENT_Mentions,Solution_ACCESS CONTROL_Mentions,Solution_ML/DL_Mentions,Solution_LEAST PRIVILEGE_Mentions,Solution_PENETRATION TESTING_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,,
Disinformation/Misinformation-ALL,Solution_CONTINUOUS AUTHENTICATION_Mentions,Solution_DISTRIBUTED LEDGERS_Mentions,Solution_BLOCKCHAIN_Mentions,Solution_DATA PROVENANCE_Mentions,Solution_SOURCE IDENTIFICATION_Mentions,Solution_IMAGE RECOGNITION_Mentions,Solution_HYPERGAME_Mentions,Solution_ML/DL_Mentions,Solution_DECEPTION TECHNOLOGY_Mentions,Solution_GAME THEORY_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,,,,,
Targeted Attack-ALL,Solution_MULTI FACTOR AUTHENTICATION_Mentions,Solution_LEAST PRIVILEGE_Mentions,Solution_ACCESS CONTROL_Mentions,Solution_NETWORK SEGMENTATION_Mentions,Solution_ML/DL_Mentions,Solution_USER BEHAVIOR ANALYTICS_Mentions,Solution_DECEPTION TECHNOLOGY_Mentions,Solution_IDS/IPS_Mentions,Solution_RISK ASSESSMENT_Mentions,Solution_GAME THEORY_Mentions,Solution_DYNAMIC RESOURCE MANAGEMENT_Mentions,Solution_PENETRATION TESTING_Mentions,Solution_NLP/LLM_Mentions,,,,,,,,,,,,,,
Backdoor-ALL,Solution_IDS/IPS_Mentions,Solution_STATIC ANALYSIS_Mentions,Solution_DYNAMIC ANALYSIS_Mentions,Solution_ML/DL_Mentions,Solution_ANOMALY DETECTION_Mentions,Solution_PENETRATION TESTING_Mentions,,,,,,,,,,,,,,,,,,,,,
Cryptojacking-ALL,Solution_BLACKLISTING_Mentions,Solution_TAINT ANALYSIS_Mentions,Solution_ML/DL_Mentions,Solution_PENETRATION TESTING_Mentions,,,,,,,,,,,,,,,,,,,,,,,
Mentions-DNS Spoofing,Solution_DNSSEC_Mentions,Solution_ENCRYPTION_Mentions,Solution_RISK ASSESSMENT_Mentions,Solution_ML/DL_Mentions,Solution_CRYPTOGRAPHY_Mentions,Solution_BLOCKCHAIN_Mentions,Solution_PENETRATION TESTING_Mentions,,,,,,,,,,,,,,,,,,,,
